NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
PENG XING 16,14F0121,9715309,Catamaran HSC,40,37.53,9,3.4,1.25,338,110,38,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9715309
XIN YU JIN XIANG,95K4003,9110810,Passenger/Container Ship,148.7,135.72,22.7,10.2,6.2,"12,304","4,046","5,700",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9110810
XUN LONG 9,18N0470,9876684,Catamaran HSC,42.48,39.54,10,3.4,1.33,498,169,43,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9876684
HU LU DAO,05C3017,9305166,Ro-Ro Passenger Ship,137.3,127.5,23.4,8.6,8.6,"16,234","5,921","3,873",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9305166
HAI QIAO,09S0268,9576478,Catamaran HSC,26,24.24,8.5,3,1.45,241,85,28,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9576478
PENG XING 23,18U0545,9862968,Catamaran HSC,39.2,38.5,9,3.4,1.29,377,120,28,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9862968
SU ZHOU HAO,92U2019,9030632,RO-RO Ship,154.73,140,22,16.05,6.01,"14,410","3,621","3,721",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9030632
MIN TAI ZHI XING,95G4023,9110793,RO-RO Passenger Ship,134.8,125,23.4,14,5.4,"15,560","6,883","4,226",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9110793
CHANG SHAN DAO,12K0138,9520297,RO-RO Passenger Ship,167.5,155,25.2,13.4,5.95,"24,572","13,268","7,670",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9520297
BO HAI CUI ZHU,12G0250,9584803,RO-RO Passenger Ship,178.8,164,28,15,6.2,"34,222","17,234","7,587",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9584803
HAI QIN,16C0013,9781360,Catamaran HSC,41.5,38.95,10,3.64,1.41,461,153,43,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9781360
HAI JING,16M0045,9786607,Catamaran HSC,41.5,38.95,10,3.64,1.41,461,153,40,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9786607
DREAM,98S0230,9150913,Passenger Ship,261.31,221.4,32.25,11.3,8.12,"77,499","44,202","8,293",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9150913
HAI XIA HAO,02J2019,9237656,Catamaran HSC,97.22,82.8,26.16,4.57,3.43,"6,556","2,497",721,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9237656
