NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
SALLA,38A226,8906212,ESUK,64.33 m,60 m,10.5 m,4 m,3.39 m,852,490,1260 ton,https://www.vesselfinder.com/vessels/details/8906212
THESEUS,00599D,9199256,Cargo / Container ship,89.6 m,84.6 m,11.65 m,5.8 m,4.49 m,1846,1081,2500 ton,https://www.vesselfinder.com/vessels/details/9199256
HAREN,29905H,9511636,V2QD6,145.63 m,138.62 m,18.25 m,10.3 m,7.41 m,7878,3909,11078 ton,https://www.vesselfinder.com/vessels/details/9511636
ARKLOW ARROW,32057W,9851971,EIXT4,119.5 m,116.89 m,14.99 m,9.7 m,7.19 m,5078,2704,8543 ton,https://www.vesselfinder.com/vessels/details/9851971
EIKBORG,07913D,9356490,PHNX,88.98 m,84.99 m,11.8 m,6.9 m,5.4 m,2281,1229,3592 ton,https://www.vesselfinder.com/vessels/details/9356490
CONSTANTINE,29755U,9626716,General cargo ship,130.71 m,11.1 m,39.38 m,8 m,3018 mm,9627,12502 ton,138.52 m,https://www.vesselfinder.com/vessels/details/9626716
ALAND,39A606,9147459,DFTY,84.8 m,79.73 m,12.4 m,6.15 m,4.83 m,1996,1094,3246 ton,https://www.vesselfinder.com/vessels/details/9147459
SALAMINA 1,14299U,9567245,Cargo / Container ship,118.79 m,113.03 m,15.3 m,9.85 m,7.06 m,4951,2384,7850 ton,https://www.vesselfinder.com/vessels/details/9567245
VANCOUVERBORG,01043L,9213741,PBCF,132.23 m,124.56 m,15.87 m,9.65 m,8.07 m,6361,3099,9829 ton,https://www.vesselfinder.com/vessels/details/9213741
LADY HAYAT,38L558,9075450,3FRY6,94.68 m,84.9 m,16 m,8.2 m,6.5 m,3676,1895,5264 ton,https://www.vesselfinder.com/vessels/details/9075450
HIZIR,24705F,9396529,9HA3348,120.8 m,113.5 m,17.6 m,8.3 m,6.45 m,5287,3169,7690 ton,https://www.vesselfinder.com/vessels/details/9396529
UNISTREAM,12392W,9484235,V2QL7,132.2 m,124.56 m,15.87 m,9.65 m,7.78 m,6351,3617,8500 ton,https://www.vesselfinder.com/vessels/details/9484235
ARKLOW BREEZE,20405G,9638812,General cargo ship,119.49 m,116.89 m,14.99 m,7.16 m,2524 mm,5065,2655,8661 ton,https://www.vesselfinder.com/vessels/details/9638812
DANUM 9,06715B,9333199,Deck ship,72.2 m,16 m,4.8 m,3.5 m,1313 mm,1687,506,78.1 m,https://www.vesselfinder.com/vessels/details/9333199
WILSON LEER,972S36,9150482,8PBB9,87.9 m,83.5 m,12.8 m,7.1 m,5.49 m,2446,1369,3680 ton,https://www.vesselfinder.com/vessels/details/9150482
COE MIEKE,38192Q,8912481,3E3739,73.85 m,70.38 m,11.5 m,5.4 m,4.38 m,1524,783,2172 ton,https://www.vesselfinder.com/vessels/details/8912481
ONEGO ISLE,28916H,9626156,2GAS8,123.95 m,121.7 m,17.4 m,11.4 m,8 m,7227,3124,10150 ton,https://www.vesselfinder.com/vessels/details/9626156
MINKA C,08902D,9373565,General cargo ship,89.9 m,84.7 m,14.5 m,7.35 m,6.3 m,3391,1686,5000 ton,https://www.vesselfinder.com/vessels/details/9373565
FILIA ARIEA,10977J,9488815,General cargo ship,84.95 m,13.75 m,5.55 m,4.35 m,1212 mm,2199,1161,89.95 m,https://www.vesselfinder.com/vessels/details/9488815
TORPO,18244H,8908791,General cargo ship,88.17 m,83.29 m,14 m,6.35 m,4.89 m,1986,1246,3504 ton,https://www.vesselfinder.com/vessels/details/8908791
ARKLOW WILLOW,31790G,9818955,General cargo ship,149.5 m,145.5 m,19.25 m,12 m,8.59 m,9999,5155,16861 ton,https://www.vesselfinder.com/vessels/details/9818955
NORDIC ERIKA,17446Q,9528495,General cargo ship,87.9 m,84.56 m,12.5 m,8 m,5.31 m,2663,1551,3750 ton,https://www.vesselfinder.com/vessels/details/9528495
ARKLOW ROGUE,07981C,9344526,General cargo ship,89.99 m,84.99 m,14 m,7.15 m,6.1 m,2999,1639,4960 ton,https://www.vesselfinder.com/vessels/details/9344526
ANNAMARIA,14031D,9488633,D5QJ9,116.23 m,110 m,18 m,10.4 m,7 m,6569,2847,8091 ton,https://www.vesselfinder.com/vessels/details/9488633
CHRISTINA,14006B,9534262,General cargo ship,114.4 m,108.3 m,14.4 m,8.1 m,6.03 m,4255,2341,6050 ton,https://www.vesselfinder.com/vessels/details/9534262
WILSON MERSEY,00593W,9177868,8PAM6,89.6 m,84.6 m,11.65 m,5.8 m,4.49 m,1846,1081,2500 ton,https://www.vesselfinder.com/vessels/details/9177868
