NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
ARAUCARIA ,202042,9882994,BULK CARRIER ,179.970 ,173.520 , 29.800 , 15.000 ,10.540 ,"23,232 ","12,101 ","38,026 ",https://www.vesselfinder.com/vessels/details/9882994
GOLDEN L ,029536,9216468,BULK CARRIER ,225.000 ,218.000 , 32.260 , 19.200 ,14.022 ,"39,958 ","25,899 ","74,000 ",https://www.vesselfinder.com/vessels/details/9216468
JULIA ,052233,9310434,BULK CARRIER ,229.930 ,221.310 , 38.000 , 19.900 ,13.819 ,"48,037 ","26,671 ","88,174 ",https://www.vesselfinder.com/vessels/details/9310434
BULK PARAGUAY ,164389,9791975,BULK CARRIER ,199.980 ,195.380 , 32.240 , 19.150 ,13.418 ,"35,847 ","20,839 ","63,461 ",https://www.vesselfinder.com/vessels/details/9791975
MAPLE HARVEST ,213560,9920057,BULK CARRIER ,199.920 ,196.500 , 32.260 , 19.400 ,13.620 ,"36,757 ","21,162 ","64,282 ",https://www.vesselfinder.com/vessels/details/9920057
EQUINOX ,128351,9587879,BULK CARRIER ,187.880 ,183.060 , 32.260 , 18.300 ,12.868 ,"31,763 ","18,415 ","55,660 ",https://www.vesselfinder.com/vessels/details/9587879
DSI PYXIS ,183559,9800635,BULK CARRIER ,199.990 ,193.570 , 32.250 , 18.500 ,12.948 ,"34,547 ","19,663 ","60,362 ",https://www.vesselfinder.com/vessels/details/9800635
DREAM TEAM ,202060,9875147,BULK CARRIER ,228.950 ,223.420 , 35.000 , 19.900 ,14.467 ,"45,223 ","28,895 ","84,861 ",https://www.vesselfinder.com/vessels/details/9875147
ACHILLEAS S. ,109073,9490789,BULK CARRIER ,189.990 ,185.340 , 32.260 , 18.000 ,12.972 ,"32,839 ","19,559 ","58,018 ",https://www.vesselfinder.com/vessels/details/9490789
MEDI FUJI ,200848,9873175,BULK CARRIER ,229.000 ,225.500 , 32.240 , 20.200 ,14.668 ,"43,496 ","27,558 ","81,791 ",https://www.vesselfinder.com/vessels/details/9873175
IZANAGI HARMONY ,210193,9791066,BULK CARRIER ,179.900 ,174.440 , 30.000 , 15.100 ,10.524 ,"23,770 ","11,966 ","37,105 ",https://www.vesselfinder.com/vessels/details/9791066
HE FU ,979497,9125786,BULK CARRIER ,172.000 ,163.330 , 25.000 , 14.200 ,10.025 ,"16,405 ","9,211 ","26,045 ",https://www.vesselfinder.com/vessels/details/9125786
SHONAI MARU ,183489,9827231,BULK CARRIER ,249.990 ,245.920 , 43.000 , 18.700 ,12.994 ,"57,842 ",-- ,"101,847 ",https://www.vesselfinder.com/vessels/details/9827231
ROYAL KNIGHT ,130498,9552355,BULK CARRIER ,197.000 ,194.000 , 32.260 , 18.100 ,12.676 ,"33,090 ","19,142 ","58,721 ",https://www.vesselfinder.com/vessels/details/9552355
SARAH OLDENDORFF ,130161,9490258,BULK CARRIER ,245.000 ,238.740 , 43.000 , 21.650 ,15.404 ,"64,788 ","37,573 ","119,290.8 ",https://www.vesselfinder.com/vessels/details/9490258
ULTRA ROCANVILLE ,128050,9476965,BULK CARRIER ,199.980 ,196.130 , 32.260 , 18.330 ,12.845 ,"33,900 ","20,020 ","61,683 ",https://www.vesselfinder.com/vessels/details/9476965
PINCHAT ,181312,9758466,BULK CARRIER ,228.990 ,225.100 , 32.260 , 20.000 ,14.429 ,"43,024 ","27,490 ","81,828 ",https://www.vesselfinder.com/vessels/details/9758466
BRILLIANT MERCURY ,203951,9885063,BULK CARRIER ,249.940 ,244.910 , 43.000 , 18.700 ,12.939 ,"60,099 ","31,093 ","101,363 ",https://www.vesselfinder.com/vessels/details/9885063
CHATHAM ISLAND ,120959,9476927,BULK CARRIER ,199.980 ,196.130 , 32.260 , 18.330 ,12.845 ,"33,910 ","19,965 ","61,671 ",https://www.vesselfinder.com/vessels/details/9476927
KSL RUIYANG ,108180,9488566,BULK CARRIER ,189.990 ,185.640 , 32.260 , 18.000 ,12.816 ,"33,033 ","19,132 ","56,872 ",https://www.vesselfinder.com/vessels/details/9488566
SAKURA HARMONY ,221287,9914008,BULK CARRIER ,182.870 ,179.950 , 31.000 , 14.700 ,10.346 ,"25,010 ","12,488 ","39,962 ",https://www.vesselfinder.com/vessels/details/9914008
SAIKAI MARU II ,211614,9906790,BULK CARRIER ,229.000 ,225.000 , 38.000 , 19.100 ,13.519 ,"47,141 ","28,011 ","84,121 ",https://www.vesselfinder.com/vessels/details/9906790
MAPLE RISING ,031840,9291341,BULK CARRIER ,235.000 ,227.510 , 43.000 , 18.550 ,12.929 ,"50,464 ","28,813 ","92,039 ",https://www.vesselfinder.com/vessels/details/9291341
NORD HAKATA ,100512,9550204,BULK/LUMBER CARRIER ,169.370 ,161.210 , 27.200 , 13.600 ,9.819 ,"17,018 ","10,108 ","28,342 ",https://www.vesselfinder.com/vessels/details/9550204
RTM DRAKE ,139426,9591351,BULK CARRIER ,299.900 ,293.330 , 50.000 , 24.850 ,18.394 ,"106,796 ","67,724 ","205,437 ",https://www.vesselfinder.com/vessels/details/9591351
DELINA ,193680,9866548,BULK CARRIER ,179.970 ,173.520 , 29.800 , 15.000 ,10.540 ,"23,232 ","12,101 ","37,976 ",https://www.vesselfinder.com/vessels/details/9866548
GOLDEN SEA ,980166,9173355,BULK CARRIER ,135.800 ,128.640 , 22.000 , 12.200 ,8.800 ,"9,973 ","4,781 ","15,962 ",https://www.vesselfinder.com/vessels/details/9173355
KOOMBANA BAY ,093239,9515735,BULK/LUMBER CARRIER ,169.370 ,161.210 , 27.200 , 13.600 ,9.819 ,"17,018 ","10,108 ","28,381 ",https://www.vesselfinder.com/vessels/details/9515735
