NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
ES VALOR,41703G,9843625,Oil tanker / Chemical tanker,139.98,134.37,20.2,11.2,8.2,8916,4416,13798,https://www.vesselfinder.com/vessels/details/9843625
OLYMPIC LION,27876C,9445459,Oil tanker,339.76,327,60,31,22.28,170611,102595,319541,https://www.vesselfinder.com/vessels/details/9445459
WESTMINSTER,20044P,9520132,Liquefied gas carrier,119.95,115,19,10,7.6,7222,2664,9011,https://www.vesselfinder.com/vessels/details/9520132
HEBE,38411D,9259185,Oil tanker,246.8,235,42,21.3,14.78,57979,31829,107144,https://www.vesselfinder.com/vessels/details/9259185
KOCATEPE,18980H,9274666,Oil tanker / Chemical tanker,185.6,176,31,10.6,5815,26662,10205,37082,https://www.vesselfinder.com/vessels/details/9274666
MH LANGOEY,07274J,9330783,Oil tanker / Chemical tanker,144.09,136.46,24.2,12.9,9.6,11729,6285,19900,https://www.vesselfinder.com/vessels/details/9330783
STENA SUEDE,18076A,9579042,Oil tanker,264,48,23.2,17,6223,81443,158824,274,https://www.vesselfinder.com/vessels/details/9579042
EKO 2,09207K,9393955,Oil tanker,89.95,82.9,14,6.5,4.2,2978,962,2700,https://www.vesselfinder.com/vessels/details/9393955
LILSTELLA,30337C,9794771,Oil tanker / Asphalt carrier,109.9,104,20,11.1,7.3,7293,2187,7944,https://www.vesselfinder.com/vessels/details/9794771
SEA PROSPERITY,26072R,9717371,Oil tanker,89.98,85.58,15.8,7.2,5.7,2871,1262,4420,https://www.vesselfinder.com/vessels/details/9717371
W.BLOSSOM,11444R,9542922,Chemical tanker,109.6,19,10,7.5,2512,6445,9073,117.6,https://www.vesselfinder.com/vessels/details/9542922
FRES,15203C,9531363,Oil tanker,88.02,79.98,14.2,6,5.2,2240,992,3352,https://www.vesselfinder.com/vessels/details/9531363
ALPHA POINT,04808D,9289489,Oil tanker,248,234.81,43,21,14.31,59834,31168,99990,https://www.vesselfinder.com/vessels/details/9289489
LASCAUX,10596U,9405746,Oil tanker / Chemical tanker,119.45,112.6,20,9.8,7.71,6953,3293,11674,https://www.vesselfinder.com/vessels/details/9405746
CORAL PARENSIS,19738G,9208148,PCHL,109,18.8,10,8.41,1610,7821,8669,118.06,https://www.vesselfinder.com/vessels/details/9208148
SPABUNKER CUARENTAYUNO,11800D,9127382,EALQ,72.1,70.43,16,6.8,5.3,2267,860,4000,https://www.vesselfinder.com/vessels/details/9127382
MARINE UNITY,17552F,9582817,Special service,23.04,7,3.5,2.5,1258,143,43,24,https://www.vesselfinder.com/vessels/details/9582817
GLOBAL EAGLE,10952G,9422847,Oil tanker / Chemical tanker,110,105.29,18.6,10,7.9,5256,2842,9010,https://www.vesselfinder.com/vessels/details/9422847
METIS,12485X,9498949,Oil tanker / Chemical tanker,110,105.29,18.6,10,7.8,5256,2847,8839,https://www.vesselfinder.com/vessels/details/9498949
SRI KANCHANADIT,25675K,9728978,Oil tanker,77.4,73.3,15,7,4.8,2423,818,2911,https://www.vesselfinder.com/vessels/details/9728978
FRANCOIS,38298F,9907782,Liquefied gas carrier,119.26,112.5,18.2,8.4,6.45,5818,2092,6386,https://www.vesselfinder.com/vessels/details/9907782
