NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
COSCO SHIPPING GRACE,20C0263,9928865,"General Dry Cargo Ship, Double Side Skin",201.8,198.3,32.26,19.3,12.5,"40,350","17,897","61,614",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9928865
HONG KUN MEI GUI,11W0581,9594949,Cable Layer,158,148.4,28.2,9,6.2,"11,796","3,538","12,770",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9594949
JING FENG 7,12P0372,9581710,General Dry Cargo Ship,132,123,18.6,8.8,6.5,"6,881","3,246","8,397",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9581710
SINCERENICE 2,17D0663,9865219,"General Dry Cargo Ship, Double Side Skin",99.89,98.14,16,8.4,5.8,"4,506","2,492","6,415",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9865219
NEW SUN,03N1016,9289984,Open-Top Container Ship,49.96,48.6,13,4.75,2.8,897,303,"1,032",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9289984
YUN GANG ZHI XING,11P0160,9620499,General Dry Cargo Ship,158.36,148.7,22.5,13,9,"13,254","6,921","19,425",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9620499
XIN HAI XIU,07J0112,9431484,General Dry Cargo Ship,131.55,122,18.8,9.4,6.9,"6,680","3,190","8,952",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9431484
ZHONG HUA MEN,17L0003,9743320,General Dry Cargo Ship,189.9,186.5,32.26,18.5,11.3,"34,798","17,284","55,374",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9743320
WUI LUNG,12X0219,9645700,General Dry Cargo Ship,140.7,131.8,20,10.8,7.95,"8,896","5,397","13,600",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9645700
DA XIANG,17V0127,9768552,General Dry Cargo Ship,179.67,170.6,28,14.8,9.2,"21,992","9,390","28,577",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9768552
JING HAI SHENG,17Q6263,9801873,"Bulk Carrier, Double Side Skin",102.49,100.74,16,8.4,6.2,"4,260","2,301","6,574",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9801873
SILVER SAFETY,10A0027,9571349,General Dry Cargo Ship,110.4,100.9,19.6,11.8,7.6,"7,243","2,881","8,541",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9571349
VF GLORY,08R0032,9486271,General Dry Cargo Ship,117.8,111.4,18,10.4,7,"6,491","2,844","8,442",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9486271
HAI WANG ZHI XING,08X0015,9464235,General Dry Cargo Ship,122.2,116,19.8,10.7,7.2,"7,460","3,295","9,106",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9464235
ZHONG XING MEN,17B0109,9743332,General Dry Cargo Ship,189.9,186.5,32.26,18.5,11.3,"34,798","17,284","55,408",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9743332
TIGER LIANYUNGANG,20J1028,9543122,Deck Cargo Ship,192,189.3,37.6,13.5,8.2,"23,040","6,912","26,151",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9543122
XIU SHAN,12T0376,9633862,General Dry Cargo Ship,104.2,97.5,17.2,8.5,6.6,"4,559","2,497","6,406",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9633862
CHIPOL DONGHAI,16E0038,9734185,"General Dry Cargo Ship, Double Side Skin",188.34,180,27.4,16,9.8,"25,471","11,623","36,974",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9734185
BRIO FAITH,09T0039,9525429,General Dry Cargo Ship,122.2,116,19.8,10.7,7.2,"7,460","3,217","9,032",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9525429
LIMASSOL,07R0073,9371919,General Dry Cargo Ship,117,110,19.7,8.5,6.45,"5,338","2,309","7,709",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9371919
HONG YANG,98X6008,9131216,General Dry Cargo Ship,185,175.6,32.2,16.95,12.05,"28,148","15,762","44,455",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9131216
SCSC FORTUNE,09K0077,9530151,General Dry Cargo Ship,117.8,111.4,18,10.4,7,"6,550","2,854","8,411",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9530151
AO KAI LONG 39,21L0023,9967108,Bulk Carrier/Container Ship,119.9,117.5,22.8,7.3,5.2,"7,028","3,935","8,996",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9967108
SILVER LUCKY,11P0022,9594676,General Dry Cargo Ship,120,112,20.8,13,8.6,"9,129","4,009","12,258",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9594676
FU RONG SONG,11M0273,9608817,Container Ship/General Dry Cargo Ship,179.5,169.5,27.2,14.5,10.2,"20,692","11,468","27,421",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9608817
CHANG ZAN,20S0323,9916111,"General Dry Cargo Ship, Double Side Skin",122.2,119.6,19.8,10.7,7.2,"7,730","2,952","9,085",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9916111
XIN XIN HAI 2,12Y0174,9623594,General Dry Cargo Ship,166.31,158.32,27.4,14.2,8.5,"21,270","10,278","29,070",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9623594
DA QING,17H0069,9768540,General Dry Cargo Ship,179.67,170.6,28,14.8,9.2,"21,992","9,390","28,605",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9768540
DA YANG BAI LI,12S0214,9607978,General Dry Cargo Ship,110.4,100.9,19.6,11.8,7.6,"7,216","2,874","8,463",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9607978
COSCO SHIPPING HONOR,18U0844,9881653,"General Dry Cargo Ship, Double Side Skin",201.8,198.3,32.26,19.3,12.5,"40,250","18,223","62,013",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9881653
