NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
DA CAI YUN,12B0291,9451367,General Dry Cargo Ship,166.5,158.32,27.4,14.2,8.5,"20,454","9,908","28,377",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9451367
SPRING SHINE,11Y0238,9619579,General Dry Cargo Ship,112.21,103,19,11.5,7.6,"7,100","2,928","8,473",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9619579
COSCO SHIPPING WISDOM,20E0265,9928889,"General Dry Cargo Ship, Double Side Skin",201.8,198.3,32.26,19.3,12.5,"40,350","17,897","61,570",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9928889
HUI LONG 17,12B0245,9628453,General Dry Cargo Ship,112.11,105,16.4,8.4,6.2,"4,684","2,460","6,796",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9628453
KAI PING,08R0170,9536105,Container Ship,117,110,19.7,8.5,6.4,"5,275","2,309","7,991",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9536105
MU MIAN SONG,12U0262,9608843,General Dry Cargo Ship/Container Ship,179.5,169.5,27.2,14.5,10.2,"20,692","11,468","27,372",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9608843
FENG HUANG SONG,09B0092,9416757,General Dry Cargo Ship/Container Ship,179.5,169.5,27.2,14.5,10.2,"20,609","11,482","27,300",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9416757
CHIPOL TAIHU,15Y0120,9734173,"General Dry Cargo Ship, Double Side Skin",188.34,180,27.4,16,9.8,"25,471","11,623","36,880",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9734173
MERATUS PANGKALPINANG,07G0110,9371945,General Dry Cargo Ship,117,110,19.7,8.5,6.45,"5,536","2,856","7,853",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9371945
ZHI XIAN 2,10D0168,9591246,Deck Cargo Ship,118,109.3,26,7.38,5.4,"5,986","1,795","9,301",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9591246
ELITE FAITH,08Q9001,9454058,General Dry Cargo Ship,122.2,116,19.8,10.7,7.2,"7,460","3,217","9,032",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9454058
PACIFIC VITALITY,20H0360,9913236,General Dry Cargo Ship,199.9,196.5,32.26,19.3,11.3,"38,988","19,471","61,670",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9913236
TIAN HUI,17F0205,9774599,General Dry Cargo Ship,189.99,186.4,28.5,15.8,11,"26,787","11,415","37,130",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9774599
COSCO SHIPPING VISION,18W0846,9881677,"General Dry Cargo Ship, Double Side Skin",201.8,198.3,32.26,19.3,12.5,"40,250","18,123","61,942",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9881677
HUA LE 6,11U0211,9627459,General Dry Cargo Ship,115,106.9,17.6,8.8,6.6,"5,144","2,870","7,669",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9627459
ALLSEAS PIONEER,03P0051,9262558,General Dry Cargo Ship,188.64,177,27.69,15.49,10.1,"24,918","12,552","35,069",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9262558
