NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
BSL NORDIC ,021252,9267170,BULK CARRIER ,169.260 ,161.210 , 27.200 , 13.600 ,9.778 ,"16,967 ","10,498 ","28,616 ",https://www.vesselfinder.com/vessels/details/9267170
KEN HOU ,043156,9293882,BULK CARRIER ,170.700 ,163.800 , 27.000 , 13.800 ,9.716 ,"17,979 ","10,748 ","29,788 ",https://www.vesselfinder.com/vessels/details/9293882
OCEAN BREEZE ,079071,9371359,BULK CARRIER ,139.920 ,132.480 , 25.000 , 11.500 ,8.496 ,"11,669 ","6,457 ","19,124 ",https://www.vesselfinder.com/vessels/details/9371359
KEN SPIRIT ,120922,9538971,BULK CARRIER ,171.993 ,166.060 , 28.000 , 15.000 ,10.624 ,"21,003 ","10,914 ","33,598 ",https://www.vesselfinder.com/vessels/details/9538971
LONGEVITY ,144985,9582520,BULK CARRIER ,228.990 ,225.100 , 32.260 , 20.000 ,14.429 ,"43,008 ","27,424 ","81,949 ",https://www.vesselfinder.com/vessels/details/9582520
GOLDEN HAWK ,151242,9745598,BULK CARRIER ,189.930 ,185.720 , 32.260 , 18.400 ,12.951 ,"32,714 ","19,102 ","58,068 ",https://www.vesselfinder.com/vessels/details/9745598
AMANDA C ,129059,9482782,BULK CARRIER ,180.000 ,172.950 , 30.000 , 14.700 ,9.917 ,"23,456 ","11,522 ","34,446 ",https://www.vesselfinder.com/vessels/details/9482782
JOHNNY P ,019566,9218789,BULK CARRIER ,224.900 ,218.270 , 32.260 , 19.400 ,14.122 ,"40,121 ","25,800 ","74,540 ",https://www.vesselfinder.com/vessels/details/9218789
IKUCHI ISLAND ,181790,9767443,BULK CARRIER ,179.970 ,173.520 , 29.800 , 15.000 ,10.540 ,"23,351 ","12,197 ","37,561 ",https://www.vesselfinder.com/vessels/details/9767443
JAG RAJIV ,132414,9643166,BULK CARRIER ,189.990 ,182.990 , 32.250 , 16.400 ,12.715 ,"31,751 ","18,653 ","56,103 ",https://www.vesselfinder.com/vessels/details/9643166
