NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
CLARA ,083126,9389124,BULK CARRIER ,190.000 ,186.480 , 32.260 , 18.100 ,12.735 ,"31,532 ","18,767 ","56,557 ",https://www.vesselfinder.com/vessels/details/9389124
NORDULTRA ,159447,9705146,BULK CARRIER ,199.900 ,197.010 , 32.240 , 18.600 ,13.026 ,"34,586 ","20,211 ","61,614 ",https://www.vesselfinder.com/vessels/details/9705146
MELIA ,050765,9286968,BULK CARRIER ,225.000 ,217.810 , 32.260 , 19.300 ,14.028 ,"39,964 ","25,889 ","76,225 ",https://www.vesselfinder.com/vessels/details/9286968
ICY BAY ,173677,9722467,BULK CARRIER ,179.970 ,173.520 , 29.800 , 15.000 ,10.540 ,"23,441 ","12,197 ","37,570 ",https://www.vesselfinder.com/vessels/details/9722467
NORDSUN ,159438,9705158,BULK CARRIER ,199.900 ,197.020 , 32.240 , 18.610 ,13.026 ,"34,586 ","20,195 ","61,559 ",https://www.vesselfinder.com/vessels/details/9705158
NIKITIS ,108357,9546124,BULK CARRIER ,189.990 ,185.640 , 32.260 , 18.000 ,12.818 ,"33,044 ","19,231 ","57,023 ",https://www.vesselfinder.com/vessels/details/9546124
NEW HORIZON ,100733,9420318,BULK CARRIER ,189.900 ,185.000 , 32.260 , 17.800 ,12.530 ,"30,811 ","18,122 ","55,445 ",https://www.vesselfinder.com/vessels/details/9420318
HOKURIKU MARU ,135942,9658939,BULK CARRIER ,234.990 ,230.580 , 43.000 , 18.550 ,13.073 ,"50,668 ",-- ,"91,073 ",https://www.vesselfinder.com/vessels/details/9658939
DANSHIP BULKER ,090799,9515682,BULK/LUMBER CARRIER ,169.370 ,161.210 , 27.200 , 13.600 ,9.819 ,"17,025 ","10,104 ","28,291 ",https://www.vesselfinder.com/vessels/details/9515682
TAOKAS WISDOM ,081913,9338577,BULK/LUMBER CARRIER ,175.530 ,167.760 , 29.400 , 13.700 ,9.640 ,"19,822 ","10,514 ","31,943 ",https://www.vesselfinder.com/vessels/details/9338577
PANORIA ,080932,9480930,BULK CARRIER ,189.940 ,183.060 , 32.260 , 17.300 ,12.303 ,"30,004 ","18,486 ","53,514 ",https://www.vesselfinder.com/vessels/details/9480930
AFRICAN ISABELLE ,220621,9919553,BULK CARRIER ,199.980 ,195.400 , 32.240 , 19.300 ,13.526 ,"36,177 ","21,173 ","63,688 ",https://www.vesselfinder.com/vessels/details/9919553
NSU JUSTICE ,120128,9441922,ORE CARRIER ,329.950 ,321.780 , 57.000 , 25.100 ,18.025 ,"132,964 ","46,882 ","250,601 ",https://www.vesselfinder.com/vessels/details/9441922
WAVE RUNNER ,082427,9323895,BULK CARRIER ,190.000 ,186.480 , 32.260 , 18.100 ,12.735 ,"31,532 ","18,767 ","56,676 ",https://www.vesselfinder.com/vessels/details/9323895
OKTEM AKSOY ,032691,9282742,BULK CARRIER ,189.990 ,182.870 , 32.260 , 17.000 ,12.022 ,"30,058 ","18,207 ","52,441 ",https://www.vesselfinder.com/vessels/details/9282742
AFRICAN TERN ,130134,9649031,BULK CARRIER ,197.000 ,194.000 , 32.260 , 18.100 ,12.676 ,"33,193 ","19,143 ","58,342 ",https://www.vesselfinder.com/vessels/details/9649031
AFRICAN BARI BIRD ,170998,9782948,BULK CARRIER ,199.980 ,195.380 , 32.240 , 19.150 ,13.418 ,"35,832 ","20,839 ","63,479 ",https://www.vesselfinder.com/vessels/details/9782948
NIPPON MARU ,111933,9478949,BULK CARRIER ,189.990 ,182.970 , 32.260 , 17.900 ,12.572 ,"31,244 ","18,516 ","55,581 ",https://www.vesselfinder.com/vessels/details/9478949
NORD MAGELLAN ,201740,9874961,BULK CARRIER ,199.980 ,195.380 , 32.240 , 19.150 ,13.418 ,"35,832 ","20,839 ","63,547 ",https://www.vesselfinder.com/vessels/details/9874961
LUGANO ,118187,9461453,BULK CARRIER ,228.990 ,222.540 , 32.260 , 20.050 ,14.463 ,"42,917 ","26,864 ","82,188 ",https://www.vesselfinder.com/vessels/details/9461453
VEGA ,110564,9456537,BULK CARRIER ,190.000 ,186.480 , 32.260 , 18.100 ,12.735 ,"31,540 ","18,765 ","55,733 ",https://www.vesselfinder.com/vessels/details/9456537
AMIS WEALTH ,210545,9897896,BULK CARRIER ,199.900 ,196.130 , 32.260 , 18.600 ,13.325 ,"35,728 ","21,466 ","63,364 ",https://www.vesselfinder.com/vessels/details/9897896
CARINA PACIFIC ,126335,9633147,BULK CARRIER ,234.980 ,227.710 , 38.000 , 19.900 ,14.468 ,"50,626 ","31,470 ","95,707 ",https://www.vesselfinder.com/vessels/details/9633147
WELLWIN ,951332,9074793,BULK CARRIER ,184.930 ,177.420 , 30.500 , 16.200 ,11.535 ,"25,676 ","13,991 ","42,529 ",https://www.vesselfinder.com/vessels/details/9074793
OCEAN GLORY ,060984,9303077,BULK CARRIER ,189.990 ,182.970 , 32.260 , 17.900 ,12.575 ,"31,228 ","18,504 ","56,039 ",https://www.vesselfinder.com/vessels/details/9303077
SANKO FORTUNE ,128281,9532202,BULK CARRIER ,225.000 ,218.840 , 32.200 , 19.800 ,14.136 ,"40,325 ","24,902 ","74,940 ",https://www.vesselfinder.com/vessels/details/9532202
LINDA OLDENDORFF ,144181,9691929,BULK CARRIER ,299.970 ,291.530 , 50.000 , 25.000 ,18.473 ,"107,553 ","67,428 ","207,562 ",https://www.vesselfinder.com/vessels/details/9691929
NEW BOUNDARY ,152296,9690511,BULK CARRIER ,189.990 ,183.610 , 32.250 , 18.100 ,12.724 ,"31,878 ","18,495 ","55,820 ",https://www.vesselfinder.com/vessels/details/9690511
NORD ARIES ,201431,9785976,BULK CARRIER ,229.000 ,225.320 , 32.260 , 20.000 ,14.467 ,"44,397 ","27,579 ","81,895 ",https://www.vesselfinder.com/vessels/details/9785976
ENDLESS HORIZON ,129305,9499462,BULK CARRIER ,189.990 ,189.990 , 32.260 , 18.000 ,12.974 ,"32,839 ","19,559 ","58,018 ",https://www.vesselfinder.com/vessels/details/9499462
CAPE PHOENIX ,115648,9598139,BULK CARRIER ,291.980 ,284.280 , 45.000 , 24.700 ,18.237 ,"92,752 ","60,504 ","181,356 ",https://www.vesselfinder.com/vessels/details/9598139
FYM SAPPHIRA ,021128,9245067,BULK/LUMBER CARRIER ,170.000 ,162.860 , 27.000 , 13.800 ,9.767 ,"17,431 ","9,829 ","28,488 ",https://www.vesselfinder.com/vessels/details/9245067
MEHMET AKSOY ,121824,9607502,BULK CARRIER ,229.000 ,222.740 , 32.260 , 20.200 ,14.568 ,"44,343 ","27,116 ","81,490 ",https://www.vesselfinder.com/vessels/details/9607502
BUBBA BOOSH ,141633,9674218,BULK CARRIER ,189.900 ,187.000 , 32.260 , 17.900 ,12.527 ,"31,557 ","17,921 ","55,464 ",https://www.vesselfinder.com/vessels/details/9674218
DYNASTY ,983427,9196371,BULK/LUMBER CARRIER ,169.030 ,162.450 , 27.000 , 13.800 ,9.670 ,"18,095 ","9,315 ","27,786 ",https://www.vesselfinder.com/vessels/details/9196371
PINDOS ,169199,9761322,BULK CARRIER ,189.990 ,186.350 , 32.260 , 18.000 ,12.818 ,"32,478 ","19,280 ","57,420 ",https://www.vesselfinder.com/vessels/details/9761322
CENTURY DREAM ,140828,9694854,BULK CARRIER ,137.030 ,130.110 , 23.000 , 11.400 ,8.325 ,"10,186 ","5,205 ","16,201 ",https://www.vesselfinder.com/vessels/details/9694854
SAKURA GLORY ,122762,9609237,BULK CARRIER ,189.930 ,185.720 , 32.260 , 18.400 ,12.925 ,"32,714 ","19,015 ","58,163 ",https://www.vesselfinder.com/vessels/details/9609237
MARIMAN ,128102,9575175,BULK CARRIER ,199.990 ,194.550 , 32.260 , 18.500 ,13.323 ,"35,812 ","21,224 ","63,301 ",https://www.vesselfinder.com/vessels/details/9575175
BROAD RISE ,060911,9342918,BULK CARRIER ,224.940 ,217.970 , 32.260 , 19.500 ,14.139 ,"39,738 ","25,754 ","76,585 ",https://www.vesselfinder.com/vessels/details/9342918
QIAN DAO HU ,172765,9735816,BULK CARRIER ,199.900 ,194.850 , 32.260 , 18.500 ,13.318 ,"36,367 ","21,529 ","63,398 ",https://www.vesselfinder.com/vessels/details/9735816
CUMA ,061665,9311206,BULK CARRIER ,228.990 ,222.640 , 32.260 , 19.900 ,14.429 ,"42,887 ","27,547 ","83,007 ",https://www.vesselfinder.com/vessels/details/9311206
SENANUR CEBI ,119070,9491367,BULK CARRIER ,187.880 ,183.060 , 32.260 , 18.300 ,12.868 ,"31,763 ","18,415 ","55,660 ",https://www.vesselfinder.com/vessels/details/9491367
NVL SIRIUS ,012697,9222481,BULK CARRIER ,189.990 ,182.870 , 32.260 , 17.000 ,12.024 ,"30,053 ","18,207 ","52,342 ",https://www.vesselfinder.com/vessels/details/9222481
GLOBAL SYMPHONY ,145010,9609342,BULK/LUMBER CARRIER ,179.970 ,174.540 , 30.000 , 14.050 ,9.822 ,"21,519 ","11,203 ","34,446 ",https://www.vesselfinder.com/vessels/details/9609342
SAKIZAYA QUEEN ,180455,9783148,BULK CARRIER ,228.990 ,225.100 , 32.260 , 20.000 ,14.429 ,"43,018 ","27,490 ","81,858 ",https://www.vesselfinder.com/vessels/details/9783148
LUMOSO LANCAR ,093690,9420289,BULK CARRIER ,189.900 ,185.000 , 32.260 , 17.800 ,12.530 ,"30,816 ","18,122 ","55,476 ",https://www.vesselfinder.com/vessels/details/9420289
PEWEE ,144851,9740160,BULK CARRIER ,179.970 ,173.520 , 29.800 , 15.000 ,10.540 ,"23,281 ","12,101 ","37,653 ",https://www.vesselfinder.com/vessels/details/9740160
LADY MIRAF ,113986,9470325,BULK/LUMBER CARRIER ,169.370 ,161.210 , 27.200 , 13.600 ,9.819 ,"17,027 ","10,108 ","28,228 ",https://www.vesselfinder.com/vessels/details/9470325
NORSE IJMUIDEN ,212216,9905253,BULK CARRIER ,179.990 ,177.140 , 32.200 , 15.400 ,10.780 ,"26,272 ","13,465 ","42,469 ",https://www.vesselfinder.com/vessels/details/9905253
AMIRA ILHAM II ,118309,9485887,BULK CARRIER ,180.000 ,172.950 , 30.000 , 14.700 ,9.917 ,"23,443 ","11,526 ","34,394 ",https://www.vesselfinder.com/vessels/details/9485887
AFRICAN CARDINAL ,193210,9856919,BULK CARRIER ,199.900 ,197.000 , 32.240 , 18.600 ,13.025 ,"34,634 ","20,170 ","61,226 ",https://www.vesselfinder.com/vessels/details/9856919
ROYAL BLISS ,172932,9804588,BULK CARRIER ,229.000 ,225.500 , 32.240 , 20.200 ,14.668 ,"43,342 ","27,558 ","82,049 ",https://www.vesselfinder.com/vessels/details/9804588
XIN HAI TONG 16 ,088370,9408281,BULK CARRIER ,189.990 ,185.640 , 32.260 , 18.000 ,12.816 ,"33,000 ","19,266 ","56,843 ",https://www.vesselfinder.com/vessels/details/9408281
MARINA K ,049284,9270919,BULK/LUMBER CARRIER ,177.000 ,169.450 , 28.400 , 14.250 ,10.019 ,"19,891 ","11,153 ","32,723 ",https://www.vesselfinder.com/vessels/details/9270919
FLORA ,113746,9583158,BULK CARRIER ,228.990 ,222.540 , 32.260 , 20.050 ,14.429 ,"43,022 ","27,239 ","82,177 ",https://www.vesselfinder.com/vessels/details/9583158
INCE MARMARA ,182302,9832690,BULK CARRIER ,199.980 ,195.380 , 32.240 , 19.150 ,13.418 ,"35,832 ","20,839 ","63,517 ",https://www.vesselfinder.com/vessels/details/9832690
BELFORTE ,194476,9853618,BULK CARRIER ,199.990 ,193.510 , 32.250 , 19.450 ,13.648 ,"36,463 ","21,202 ","64,057 ",https://www.vesselfinder.com/vessels/details/9853618
ISUZU MARU ,171784,9782039,BULK CARRIER ,249.980 ,245.090 , 43.000 , 18.500 ,12.863 ,"56,999 ","31,071 ","100,076 ",https://www.vesselfinder.com/vessels/details/9782039
VALUE NANCY ,010592,9233387,BULK CARRIER ,189.940 ,182.000 , 32.260 , 17.300 ,12.300 ,"29,963 ","18,486 ","53,553 ",https://www.vesselfinder.com/vessels/details/9233387
LUZON ,104263,9479008,BULK CARRIER ,189.990 ,182.970 , 32.260 , 17.900 ,12.573 ,"31,243 ","18,516 ","55,657 ",https://www.vesselfinder.com/vessels/details/9479008
UNISON POWER ,128388,9579406,BULK CARRIER ,189.000 ,180.880 , 30.000 , 15.000 ,10.366 ,"24,735 ","12,342 ","38,145 ",https://www.vesselfinder.com/vessels/details/9579406
LUNA HORIZON ,202634,9866562,ORE CARRIER ,319.950 ,314.600 , 55.000 , 24.300 ,18.220 ,"123,075 ","47,887 ","243,329 ",https://www.vesselfinder.com/vessels/details/9866562
AFRICAN FINCH ,202934,9888857,BULK/LUMBER CARRIER ,179.970 ,173.520 , 29.800 , 15.000 ,10.540 ,"23,573 ","12,101 ","37,520 ",https://www.vesselfinder.com/vessels/details/9888857
ANNIKA N ,113686,9514054,BULK CARRIER ,190.000 ,186.480 , 32.260 , 18.100 ,12.735 ,"31,540 ","18,765 ","55,768 ",https://www.vesselfinder.com/vessels/details/9514054
AGIOS NEKTARIOS ,108296,9515759,BULK CARRIER ,189.990 ,185.650 , 32.260 , 18.000 ,12.818 ,"32,987 ","19,231 ","56,722 ",https://www.vesselfinder.com/vessels/details/9515759
SANTA JOHANNA ,171581,9806782,BULK CARRIER ,199.920 ,196.500 , 32.260 , 18.700 ,13.023 ,"35,024 ","19,844 ","61,255 ",https://www.vesselfinder.com/vessels/details/9806782
