NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
WAN HAI 101,12K0345,9493298,Container Ship,144.1,136.1,22.5,11.2,7.3,"9,834","3,867","11,912",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9493298
COSCO JEDDAH,12E0271,9484352,Container Ship,261.1,247.09,32.25,19.3,11,"40,465","23,892","49,948",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9484352
STONEFISH,94K4366,9106144,General Dry Cargo Ship,164.05,153.7,27.5,14.3,10.65,"16,269","9,476","23,465",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9106144
CMA CGM JACQUES JUNIOR,16A0034,9722716,Container Ship,299.9,286,48.2,25,12.5,"95,680","52,015","110,695",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9722716
HONG AN,21E0109,9941116,Container Ship,171.9,169,28.4,14.5,8.5,"18,724","8,080","24,514",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9941116
XIN SHANGHAI,06K0016,9307231,Container Ship,336.7,321,45.6,27.2,13,"108,069","57,365","111,737",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9307231
KOTA SURIA,15R0182,9681326,Container Ship,228,217,37.3,19.2,11.5,"41,649","22,321","51,791",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9681326
NIMTOFTE MÆRSK,19X0438,9885166,Container Ship,172,168.6,32.2,16.8,8.5,"26,255","8,672","27,550",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9885166
BOSON,03V3047,9266126,Container Ship,171.99,160,27.6,14,8.5,"17,153","7,533","22,078",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9266126
CMA CGM RIVOLI,21X0011,9839193,Container Ship,399.9,393.9,61.3,33.5,14.5,"236,583","101,823","221,195",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9839193
ZHONG GU JI NAN,21J0136,9938872,Container Ship,228,224.5,40,19.6,13.75,"54,466","31,588","87,619",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9938872
COSCO SHIPPING ALPS,18E0002,9757864,Container Ship,366,350.5,51.2,30.2,14,"154,300","84,334","153,679",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9757864
XIN XIN TIAN 1,06L2041,9320025,Container Ship,221.62,209.62,29.8,16.4,10.1,"27,971","13,574","37,786",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9320025
XIN YANG SHAN,05F2008,9310020,Container Ship,263.23,251.4,32.2,19.3,12.8,"41,482","24,001","52,242",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9310020
COSCO SHIPPING CAPRICORN,18D0093,9783514,Container Ship,400,382,58.6,30.7,14,"196,670","92,071","197,087",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9783514
CSCL ASIA,04Q0011,9285976,Container Ship,333.99,319,42.8,24.6,13,"90,645","56,758","101,612",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9285976
OCEAN BLUE WHALE,17L0072,9790139,Passenger Ship/Container Ship,182.72,169.5,25.2,12.1,7.2,"19,480","8,151","11,553",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9790139
COSCO SHIPPING ROSE,18D0162,9785809,Container Ship,366,350,48.2,30.2,13.5,"143,179","84,940","146,714",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9785809
XIN DA YANG ZHOU,09P0012,9337949,Container Ship,335,320.06,42.8,24.8,13,"90,757","57,364","102,418",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9337949
TIAN LI HE,10Y0049,9400552,Container Ship,294,284.16,32.2,21.8,12,"54,005","32,333","63,253",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9400552
ZHONG GU ZHU HAI,18C0023,9810252,Container Ship,179.99,177,32.2,16.2,10.7,"28,433","13,522","40,567",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9810252
TANG SHAN GANG JI 1,03Y1026,9216858,Container Ship,127.95,118.75,20.6,10.8,7.4,"7,360","3,085","8,394",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9216858
JJ SUN,08G0230,9406831,Container Ship,147.87,140.3,23.25,11.5,8.51,"9,957","5,032","13,872",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9406831
SITC GUANGXI,15L0177,9712395,Container Ship,171.99,169.2,27.6,14,8.5,"17,119","7,032","21,355",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9712395
CSCL ATLANTIC OCEAN,15R0067,9695145,Container Ship,399.67,383,58.6,30.5,14.5,"188,638","86,434","184,320",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9695145
COSCO SHIPPING DANUBE,16A0149,9731913,Container Ship,299.9,283.52,48.2,24.8,13,"94,623","54,106","111,290",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9731913
COSCO SHIPPING RHINE,17N0097,9731951,Container Ship,299.9,283.52,48.2,24.8,13,"94,623","54,106","111,189",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9731951
TANTO KELUARGA,18D0852,9888405,Container Ship,119.9,117.5,21.8,7.3,5.2,"6,812","3,172","8,100",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9888405
GULF MAS,16X6150,9791767,Open-Top Container Ship,107.8,105.6,18,8.5,4.8,"4,990","2,519","5,889",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9791767
XIN MING ZHOU 102,20F0082,9915002,Container Ship,171.95,168.7,27.5,14.3,8.5,"18,460","7,597","24,031",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9915002
XIN MING ZHOU 106,20G0083,9915014,Container Ship,171.95,168.7,27.5,14.3,8.5,"18,731","7,597","23,861",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9915014
ZHONG GU BO HAI,17A6042,9842346,Container Ship,171.95,168.7,27.5,14.3,8.5,"18,490","7,597","24,124",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9842346
CAIYUNHE,00K3505,9228758,Container Ship,182.87,172,27.6,14,10.1,"16,738","9,236","24,259",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9228758
NEW MINGZHOU 60,16Y0056,9757321,Container Ship,147.9,139.6,23.25,11.5,7.3,"9,998","5,122","13,295",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9757321
REN JIAN 25,09P0311,9450935,Container Ship,260.32,247,32.2,19.2,11,"42,112","25,378","54,384",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9450935
CHANG SHUN QIAN CHENG,20W1040,9981788,Container Ship,197,194,32.2,16.7,11.2,"31,858","18,707","49,376",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9981788
SINOTRANS MANILA,17X0083,9792644,Container Ship,171.99,164,28.4,14.5,8.5,"19,070","7,687","24,690",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9792644
