NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
YUAN HUA HAI,16T6054,9806940,Ore Carrier,361.97,355,65,30.4,23,"203,988","66,832","398,441",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9806940
FPMC B HARMONY,12U0124,9445277,Bulk Carrier,295,285,46,24.8,18.1,"94,710","59,527","180,156",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9445277
HUA HENG 167,11K0225,9604603,Bulk Carrier,189.99,185,32.26,18,11.3,"32,965","19,224","56,769",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9604603
HENG LONG,11V0281,9498327,Bulk Carrier,300,295,50,24.7,16.1,"106,235","69,416","207,900",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9498327
YIN FU,12G0089,9636163,Bulk Carrier,190,187,32.26,16.5,10.5,"30,472","15,083","48,909",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9636163
YUE DIAN 8,97V2022,9154098,Bulk Carrier,225,218,32.2,18.7,12.2,"37,881","23,528","72,424",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9154098
GUO YUAN 86,17K6051,9864186,Bulk Carrier,229,225.4,34.5,20.2,12.2,"47,370","29,847","86,374",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9864186
XING QIANG 1,01F7002,9223186,Bulk Carrier,189.98,181,32.26,16.91,11.75,"28,029","15,696","50,175",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9223186
KORONA D,11J0362,9476836,Bulk Carrier,291.97,283.5,45,24.7,16.5,"93,216","60,032","179,362",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9476836
TOP FORTUNE,17F0021,9763887,Bulk Carrier,199.9,197,32.24,18.6,11.3,"34,590","20,201","61,447",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9763887
HUAYANG ENDEAVOUR,13R0149,9591492,Bulk Carrier,224.9,217,32.25,19.7,12.2,"41,605","26,095","75,492",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9591492
MSXT TRINITY,10M0337,9469637,Bulk Carrier,292,282,45,24.8,16.5,"91,385","58,745","178,076",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9469637
BAO DE LING,15C0077,9617260,Bulk Carrier,189.9,183,32.26,15.7,10.3,"28,714","16,079","49,281",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9617260
NEW LEGEND PEARL,10P0362,9414773,Bulk Carrier,179.9,171.5,28.4,14.1,10,"20,809","11,689","31,800",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9414773
