NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
XING TONG 739,19Q0684,9906207,Chemical Tanker,138.8,131.3,19.2,10.6,7.6,"7,760","3,626","11,495",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9906207
SEA RELIANCE,06E4013,9417775,"Oil Tanker, Double Hull",101.55,95.4,15.4,8.8,6.6,"3,597","1,626","4,999",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9417775
DING HENG 1,06A3043,9412165,Chemical Tanker,96.6,90,15,7.4,5.2,"2,981","1,143","4,030",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9412165
XING TONG 799,11U0556,9540819,"Oil Tanker, Double Hull",182.5,175,32.2,19.05,13.12,"29,429","13,841","44,995",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9540819
DELTA ATLANTICA,11H0568,9419101,"Oil Tanker, Double Hull",274.2,264,50,23.2,16,"85,522","53,205","161,762",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9419101
YU TIAN 18 HAO,11D0012,9610107,Liquefied Gas Carrier,99.96,93,14.8,7.2,5.4,"2,993","1,004","2,998",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9610107
HONG YUE,08Q0077,9519690,Liquefied Gas Carrier,99.8,93,14.8,7.2,5.4,"2,970","1,003","3,083",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9519690
XIN TONG YANG,08U0150,9389758,"Oil Tanker, Double Hull",330,316,60,29.7,19.2,"152,740","97,129","297,183",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9389758
HAI CHANG 19,12P0211,9571179,Chemical Tanker,96.6,90,15,7.4,5.2,"3,139","1,156","3,886",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9571179
KUN LUN YOU 205,12Q0258,9622057,"Oil Tanker, Double Hull",177.21,168,29,14,9.5,"20,563","8,556","30,038",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9622057
YUAN AN HU,18S0451,9846029,"Oil Tanker, Double Hull",224.9,220.4,35,18,11.2,"39,828","18,901","64,898",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9846029
HONG FU 32,18Q0564,9925291,"Oil Tanker, Double Hull",156.9,147.2,24,13.25,8.45,"14,037","5,234","19,966",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9925291
HUA WEI 8,12A0037,9647485,"Chemical/Oil Tanker, Double Hull",180.12,170,26.8,14.1,9.25,"18,561","7,875","27,914",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9647485
MARIELA,15A0167,9779094,"Oil Tanker, Double Hull",81.7,76.8,13.4,6.2,4.2,"1,934",580,"2,020",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9779094
JIU LONG 8,09W0134,9565833,Liquefied Gas Carrier,99.96,93,15.2,6.9,4.95,"2,981",918,"2,877",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9565833
HAI CHANG 18,09E0187,9559523,"Chemical/Oil Tanker, Double Hull",113.4,106,17.8,8.8,6.5,"4,975","2,244","7,308",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9559523
HONG YU,13L0075,9635092,Liquefied Gas Carrier,110,102,17.8,7.8,5.6,"4,702","1,410","4,220",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9635092
CHANG HANG HONG TU,08G0138,9379777,"Oil Tanker, Double Hull",184.95,176,32.2,18.2,10.2,"29,578","12,471","45,765",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9379777
TIAN YING ZUO,16E0153,9747376,"Oil Tanker, Double Hull",220,213,32.26,20.6,13.6,"40,779","18,028","64,982",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9747376
SUCCESS ENERGY XXXII,96J1040,9136498,Oil Tanker/Chemical Tanker,112.09,104,18.6,8.6,6.94,"4,884","2,486","7,901",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9136498
DELTA OCEAN,10U0482,9408475,"Oil Tanker, Double Hull",274.27,264,48,23.1,16,"81,360","52,692","157,444",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9408475
FEI MA ZUO,09L0124,9435571,"Oil Tanker, Double Hull",228.6,220,32.26,21.2,12.5,"43,718","21,966","75,578",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9435571
HUA NAN 5,20T0370,9920978,Liquefied Gas Carrier,110.8,105,17.6,7.8,5.2,"4,802","1,440","4,546",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9920978
GUO LI,14S0178,9719783,"Oil Tanker, Double Hull",49.5,47.5,14.3,5,3.5,"1,021",343,"1,329",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9719783
