NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
ALONISSOS,10J0288,9566916,Bulk Carrier,189.99,185,32.26,18,11.3,"32,858","19,142","56,648",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9566916
JIN NING 16,00Q3510,9211133,Bulk Carrier,189.9,182,32.26,17.1,10.77,"29,499","17,889","52,067",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9211133
YIN HUA 1,13N0169,9673501,Bulk Carrier,189.99,185,32.26,15.5,10.5,"29,092","15,729","47,102",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9673501
BAO YUAN LING,15Y0074,9604316,Bulk Carrier,189.9,183,32.26,15.7,11.45,"28,714","16,079","49,258",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9604316
DA JIA,99L4024,9214161,Bulk Carrier,225,218,32.2,19.2,12.22,"38,928","24,319","74,242",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9214161
SOYA TIANJIN,19V0114,9883754,Bulk Carrier,229,225.5,32.26,20.05,12.2,"44,103","27,297","80,780",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9883754
Mount Gilboa,13N0445,9482940,Bulk Carrier,292,283.5,45,24.8,16.5,"92,921","59,331","178,854",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9482940
WU HUA ZHI XING,12L0323,9655767,Bulk Carrier,189.99,185,32.26,15.5,10.5,"29,236","15,731","47,100",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9655767
JIN HAI YU,96E3313,9125554,Bulk Carrier,190,181,30.5,16.6,11.2,"26,922","13,878","43,769",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9125554
MOUNT K2,11B0631,9546980,"Bulk Carrier, Double Side Skin",292,282.96,44.98,24.7,17.95,"92,250","57,461","176,820",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9546980
ESL SEALION,11M0089,9493614,Bulk Carrier,291.8,282.2,45,24.75,16.5,"91,971","59,546","175,911",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9493614
RUI NING 3,10B0028,9538294,"Bulk Carrier, Double Side Skin",190,183.05,32.26,17.5,11.1,"32,460","17,889","53,492",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9538294
GREAT JIN,10Q0087,9526679,Bulk Carrier,291.8,282.2,45,24.75,16.5,"91,751","59,329","175,868",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9526679
ORE NINGBO,19B0004,9815226,Ore Carrier,361.9,355,65,30.4,23,"203,982","66,832","399,081",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9815226
ALPHA TREASURE,20V0487,9919216,Bulk Carrier,299.88,294,50,25.2,16.1,"109,768","68,283","209,260",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9919216
PACIFIC FLOURISH,18U0108,9807736,Ore Carrier,361.9,355,65,30.4,23,"203,949","66,838","399,116",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9807736
SHANDONG FU REN,18P0195,9748784,Bulk Carrier,229,225.5,32.26,20.05,12.2,"44,120","27,591","81,783",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9748784
YUN LONG FENG,12B0015,9523201,Bulk Carrier,225,217,32.26,19.6,12.2,"40,913","25,963","75,394",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9523201
RUI AN CHENG,16J0065,9742962,General Dry Cargo Ship/Bulk Carrier,179.95,177,32,15,10.5,"25,769","13,058","37,930",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9742962
