NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
UNITY,05J1022,9337767,Oil Tanker,42.89,40.07,10.8,4,2.9,499,205,599,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9337767
INTEGRITY,13X0109,9677753,"Oil Tanker, Double Hull",46,42.75,12,4.7,3.6,662,198,800,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9677753
FAN SHUN 31,10F0239,9594028,Chemical Tanker,95.8,88.8,14.6,7.2,5.4,"2,804","1,184","3,709",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9594028
CHANG LONG 21,14N0013,9689029,"Chemical/Oil Tanker, Double Hull",160.5,150.8,23,12.7,8.4,"13,222","5,896","19,975",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9689029
LIAN BAI HU,18T0038,9783370,"Oil Tanker, Double Hull",220,216,36,20,12,"43,687","21,245","72,777",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9783370
SC TAURUS,17U0172,9801081,"Chemical/Oil Tanker, Double Hull",182.8,177,32,15.7,9.5,"26,364","11,408","40,962",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9801081
XING TONG 729,21M0461,9972907,"Chemical Tanker,Type2",138.8,131.3,19.2,10.6,7.82,"7,760","3,835","11,995",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9972907
ZHONG CHUAN 121,07Y0011,9419010,"Chemical/Oil Tanker, Double Hull",134.85,126,22,10.6,7.42,"8,479","3,615","12,000",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9419010
YAN SHUN,13D0091,9677612,Liquefied Gas Carrier,112,105,19,10.6,5.9,"7,472","2,241","7,736",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9677612
NAN YU 7,17G0206,9829590,Liquefied Gas Carrier,99.97,94.35,16.5,7.2,4.6,"3,804","1,141","3,130",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9829590
CHANG HANG MA NAO,10M0130,9582439,"Oil Tanker, Double Hull",184.91,176,32.2,19.2,11.4,"31,530","13,395","49,966",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9582439
NAN LIAN 18,18X0410,9883156,"Chemical/Oil Tanker, Double Hull",107.88,101.4,16.4,8.7,6.2,"4,475","1,787","5,487",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9883156
CHANG HANG FENG CAI,08X0199,9379789,"Oil Tanker, Double Hull",184.95,176,32.2,18.2,10.2,"29,578","12,471","45,844",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9379789
HENG HUI 8,95H1034,9122485,Chemical/Oil Tanker,82,75.06,12.6,6.6,5.2,"1,833",688,"2,499",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9122485
SU RUI 189,16U0144,9743863,Liquefied Gas Carrier,99,93.9,16.6,7.8,5.5,"4,172","1,251","3,574",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9743863
HAI ZHI RUN 17,17R0192,9824473,"Oil Tanker, Double Hull",181.08,173.15,30.5,15.6,10.33,"23,708","9,638","34,589",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9824473
GOLDEN VIOLET,12P0004,9689043,"Chemical/Oil Tanker, Double Hull",160.5,150.8,23,12.7,8.4,"13,200","5,814","19,998",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9689043
DING HENG 18,06D4035,9419072,Chemical Tanker,91.03,84.3,13.5,6.5,5.2,"2,254","1,024","3,387",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9419072
