NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
RUI GAO ZHUO YUE,18U0591,9887047,"Chemical/Oil Tanker, Double Hull",112.88,105.8,16.8,8.3,6.53,"4,768","2,301","6,510",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9887047
SOUTHERN CROSS,15T0092,9613147,LNG Carrier,290,278,46.95,26.25,11.5,"114,116","34,264","96,193",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9613147
KE JIN HAO,11W0144,9611591,"Oil Tanker, Double Hull",105.83,99.6,18.6,10.25,7.4,"5,098","2,593","7,974",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9611591
HONG PING,01U1012,9194672,LPG Carrier,84.34,78.5,14.8,6.5,4,"2,420",726,"1,716",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9194672
YU RU,11Y0169,9607526,"Chemical/Oil Tanker, Double Hull",146.9,142,21.6,12.5,9,"10,996","5,275","16,686",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9607526
YANG NING HU,09X0066,9397755,"Oil Tanker, Double Hull",244.6,233,42,22.2,12,"61,630","32,584","109,815",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9397755
HELM 1,17Q0145,9824356,"Oil Tanker, Double Hull",20,19,9.3,5.3,3.3,249,74,253,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9824356
YU LIN WAN,04F4004,9283277,"Oil Tanker, Double Hull",244.6,233,42,22.2,15.45,"61,713","32,458","109,277",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9283277
BEI HAI FEN JIN,17F0136,9790799,"Oil Tanker, Double Hull",219.9,215.4,35,18.4,11.2,"39,618","18,216","63,508",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9790799
XIN AO TAI 1,10L0198,9590553,"Chemical/Oil Tanker, Double Hull",145.5,136.2,23,12.5,8.8,"11,258","5,188","16,774",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9590553
XIN YIN LONG,90L4048,8812837,LPG Carrier,81.55,72.8,12.95,5.5,4.11,"1,970","1,103","1,162",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=8812837
SC SCORPIO,17J0139,9801079,"Chemical/Oil Tanker, Double Hull",182.8,177,32,15.7,9.5,"26,364","11,411","40,964",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9801079
