NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
CHANG HANG SHUI JING,08J0163,9406350,"Oil Tanker, Double Hull",184.95,176,32.2,19.2,11.4,"31,534","13,395","49,969",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9406350
NEWOCEAN 12,11L0318,9648881,"Oil Tanker, Double Hull",40.2,38,15.5,6.2,5.2,"1,106",415,"1,909",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9648881
KUN LUN YOU 202,11G0337,9622033,"Oil Tanker, Double Hull",177.21,168,29,14.4,9.5,"20,563","8,556","30,046",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9622033
TAIMIN 1,13P0055,9678056,"Oil Tanker, Double Hull",48,44.5,13.8,6.6,4.8,"1,191",433,"1,698",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9678056
YUAN LIAN WAN,18T0452,9845960,"Oil Tanker, Double Hull",249.98,245.4,44,21.5,13.7,"64,573","35,973","113,832",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9845960
FOSHAN,07P0347,9404572,"Oil Tanker, Double Hull",110,104.75,18.6,10,7.9,"5,256","2,779","9,045",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9404572
JIU LONG 7,11F0198,9627734,Liquefied Gas Carrier,99.96,93,15.2,6.9,5.1,"2,981",975,"3,034",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9627734
TONG ZHOU 29,12U0239,9655937,Liquefied Gas Carrier,99.96,93,14.8,7.2,5.4,"2,993","1,004","3,071",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9655937
KUN LUN YOU 206,12J0298,9657442,"Oil Tanker, Double Hull",177.21,168,29,14,9.5,"20,563","8,556","30,052",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9657442
COSFLOURISH LAKE,17E0181,9783356,"Oil Tanker, Double Hull",333,323.6,60,30,20.5,"162,542","101,956","308,152",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9783356
