NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
YONG DING,09G0189,9379703,"Oil Tanker, Double Hull",330,316,60,29.7,19.2,"156,726","98,937","296,068",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9379703
NEW COURAGE,15C0054,9686352,"Oil Tanker, Double Hull",332.95,323.6,60,30.5,20.5,"166,094","104,095","313,992",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9686352
DELTA TOLMI,10Y0509,9429027,"Oil Tanker, Double Hull",274,264,48,23.1,16,"81,360","52,692","157,488",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9429027
STAR QUEST,09H0052,9529358,"Oil Tanker, Double Hull",94.8,89,16.5,9.2,6.5,"4,010","1,584","5,618",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9529358
NEW VANGUARD,11S0071,9445631,"Oil Tanker, Double Hull",330,316,60,29.7,19.2,"157,039","99,010","297,115",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9445631
MEI LIN WAN,12D0293,9614074,"Oil Tanker, Double Hull",244.7,234,42,21.6,12,"60,166","33,954","109,485",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9614074
YU TONG,20A0376,9931185,"Chemical/Oil Tanker, Double Hull",138.8,131.3,19.2,10.6,7.6,"7,760","3,626","11,477",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9931185
DEHANG,17V6038,9871000,Chemical/Oil Tanker,177,171.5,27.5,14,9.28,"19,563","7,959","28,388",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9871000
SHEN HAI,12L0277,9583677,LNG Carrier,290,274.1,43.35,26.25,11.45,"98,068","29,420","82,625",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9583677
HONG GUI,00H2008,9194660,LPG Carrier,84.34,78.5,14.8,6.5,4,"2,420",726,"1,716",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9194660
INDIRA,07K0044,9427146,"Oil Tanker/Asphalt Carrier(Integral Tank,Maximum Cargo Temperature≤145°C)",134.85,125.13,22,10.6,7.55,"8,580","3,816","11,891",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9427146
PROTEUS REBECCA,20H0406,9914682,"Oil Tanker, Double Hull, F.P.≤60℃",249.95,245,44,21.4,13.5,"66,834","32,795","109,996",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9914682
MANDO ONE,05V0113,9291640,"Oil Tanker, Double Hull",186.41,177,32.2,18.5,12,"30,053","14,378","53,039",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9291640
MA YUE,11L0594,9620279,"Oil Tanker, Double Hull",118,110,17.6,9,6.6,"5,036","2,272","7,040",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9620279
GUANG XING ZHOU,05W2000,9295062,"Oil Tanker, Double Hull",228.6,217,32.26,21,14.5,"43,062","21,289","64,999",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9295062
FU RONG YUAN,96Y2020,9136747,LPG Carrier,99.92,92.87,16.2,7.2,4.82,"3,540","1,091","2,854",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9136747
ZHONG GANG HUA YUN 3,06M3008,9406740,Chemical Tanker,90,84,15.2,7.2,5.6,"2,974","1,269","4,172",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9406740
ZHAO YANG,11B0240,9625308,Liquefied Gas Carrier,88.5,82.2,14,6.6,4.4,"2,563",768,"2,080",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9625308
