NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
HUA SHUN 198,12U0170,9658501,"Oil Tanker, Double Hull",150.59,142,22.6,12.5,8.95,"11,517","5,479","17,966",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9658501
GUO BAO,18W0547,9862126,"Oil Tanker, Double Hull",38,36.26,9.2,4.5,2.98,474,142,439,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9862126
FENG FAN 27,12S0076,9626297,"Chemical/Oil Tanker, Double Hull",114.6,107.9,16.8,8.4,6.4,"4,682","2,156","6,513",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9626297
HUI TONG 78,12V0171,9646479,"Oil Tanker, Double Hull",126.08,118,19.8,11,8.2,"7,544","3,852","12,476",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9646479
CESI WENZHOU,18W0018,9694751,LNG Carrier,289.99,278,45.59,26.45,11.7,"113,397","39,967","95,530",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9694751
XIN HANG 707,12W0195,9642411,"Oil Tanker, Double Hull",96.43,89.8,15.8,7.15,5.6,"2,991","1,366","4,480",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9642411
LIAN PING HU,05P1004,9308962,"Oil Tanker, Double Hull",229,219,32.2,20.2,14.35,"40,996","22,187","71,940",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9308962
HAI TUN ZUO,10S0066,9435595,"Oil Tanker, Double Hull",228.6,220,32.26,21.2,12.5,"43,718","21,966","75,570",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9435595
HONG MAO,10F0354,9921879,Liquefied Gas Carrier,99.96,93,15.2,6.9,5.1,"3,187",976,"2,873",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9921879
SHAN HU ZUO,10H0103,9435600,"Oil Tanker, Double Hull",228.6,220,32.26,21.2,14.7,"43,718","21,966","75,596",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9435600
