NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
AMADEUS DIAMOND,01838A,9201968,General cargo ship,88.95 m,84.95 m,12.4 m,5.65 m,4.35 m,2088,1168,2800 ton,https://www.vesselfinder.com/vessels/details/9201968
ASL SHANGHAI,38293A,9133422,3FHB2,169.82 m,162.94 m,27.49 m,13.8 m,9.3 m,18202,9246,21980 ton,https://www.vesselfinder.com/vessels/details/9133422
ARKLOW ACE,32055U,9851957,EIWR7,120.45 m,116.89 m,14.99 m,9.7 m,7.19 m,5078,2704,8543 ton,https://www.vesselfinder.com/vessels/details/9851957
MARTINA,24660G,9594286,V2HN4,109.95 m,105.9 m,17.4 m,11.4 m,7 m,6190,2619,8690 ton,https://www.vesselfinder.com/vessels/details/9594286
YILMAZ DENIZ,04372E,9318278,3EWJ7,80.8 m,74.5 m,12.5 m,5.71 m,1097 mm,2032,1195,3346 ton,https://www.vesselfinder.com/vessels/details/9318278
WATERWAY,39M456,9143594,J8B3859,81.4 m,77.6 m,9.46 m,4.65 m,3.15 m,1143,436,1454 ton,https://www.vesselfinder.com/vessels/details/9143594
RONJA,08613P,9434046,5BSR4,89.95 m,84.75 m,15.25 m,5.5 m,1575 mm,2979,1650,4500 ton,https://www.vesselfinder.com/vessels/details/9434046
DCS AUSTRAL,44142H,9873022,HP4127,129.3 m,125.2 m,26 m,8 m,5.65 m,10758,3227,13131 ton,https://www.vesselfinder.com/vessels/details/9873022
NOORDDIJK,15541U,9591820,PCEV,122.2 m,116 m,19.8 m,10.7 m,7.2 m,7580,3050,9000 ton,https://www.vesselfinder.com/vessels/details/9591820
UAL LOBITO,06643X,9265653,PBJZ,89.98 m,84.99 m,15.2 m,6.9 m,5.31 m,3153,1789,4354 ton,https://www.vesselfinder.com/vessels/details/9265653
MADICKEN,15054Q,9195755,5BPY5,88.78 m,84.99 m,12.5 m,7 m,5.42 m,2545,1460,3785 ton,https://www.vesselfinder.com/vessels/details/9195755
ELENORA,03108F,9184421,CQWD,85.66 m,82.38 m,13.02 m,7.3 m,5.71 m,2469,1272,4023 ton,https://www.vesselfinder.com/vessels/details/9184421
MARIETJE NORA,13495V,9481609,General cargo ship,136.1 m,130.25 m,15.2 m,6.88 m,2637 mm,5904,2863,9068 ton,https://www.vesselfinder.com/vessels/details/9481609
VEERSEBORG,00488H,9184653,General cargo ship,132.2 m,123.84 m,15.87 m,9.65 m,7.06 m,6130,3424,8667 ton,https://www.vesselfinder.com/vessels/details/9184653
HELGE,22670T,9677404,General cargo ship,89 m,84.99 m,13.35 m,6.15 m,2566 mm,2911,1453,5000 ton,https://www.vesselfinder.com/vessels/details/9677404
ARKLOW VILLA,28807P,9772618,General cargo ship,86.93 m,84.98 m,15 m,7.17 m,6.35 m,2999,1731,5150 ton,https://www.vesselfinder.com/vessels/details/9772618
AL UDEID,40153W,9294965,3EBB7,139.33 m,18.25 m,10.3 m,6.9 m,2667 mm,7769,10508 ton,145.63 m,https://www.vesselfinder.com/vessels/details/9294965
EEMSLIFT HENDRIKA,23332N,9671486,PCYX,102 m,16.8 m,9.3 m,5.8 m,418 mm,5460,4432 ton,111.6 m,https://www.vesselfinder.com/vessels/details/9671486
FERRO,18287E,9005730,General cargo ship,88.15 m,83.2 m,14 m,6.36 m,5 m,1986,1246,3504 ton,https://www.vesselfinder.com/vessels/details/9005730
YAF S,15205E,9437787,3E3917,99.89 m,94.72 m,16.6 m,8.4 m,6.7 m,4109,2332,6055 ton,https://www.vesselfinder.com/vessels/details/9437787
SIMAG SHANGHAI,25162C,9695119,3E2000,179.5 m,169.5 m,27.2 m,10.5 m,4032 mm,20886,11064,27263 ton,https://www.vesselfinder.com/vessels/details/9695119
KAPTAN ERDOGAN,07598L,9326043,General cargo ship,91.6 m,84.47 m,13 m,7.5 m,6.19 m,2484,1047,4359 ton,https://www.vesselfinder.com/vessels/details/9326043
OCEAN S,22152F,9086320,D5YA6,168.7 m,160 m,26 m,13.3 m,9.54 m,16041,9280,26411 ton,https://www.vesselfinder.com/vessels/details/9086320
DESERT ROSE,933A33,9055723,A6PX,61.5 m,56.97 m,11.59 m,3.35 m,891 mm,633,190,875 ton,https://www.vesselfinder.com/vessels/details/9055723
LADY DAWN,17557L,9467172,PBRJ,94.7 m,91.8 m,13.4 m,7.8 m,5.69 m,2862,1433,4114 ton,https://www.vesselfinder.com/vessels/details/9467172
LONGVIKING,14531W,9547324,PBNO,114.4 m,108.32 m,14.4 m,8.1 m,6.04 m,4255,2341,6000 ton,https://www.vesselfinder.com/vessels/details/9547324
EEMS DUNDEE,22719W,9658109,PCPU,107.95 m,99.62 m,16 m,9.3 m,6.45 m,5198,1997,6555 ton,https://www.vesselfinder.com/vessels/details/9658109
VICTORIA I,16635J,9561198,J8B4151,24 m,7.53 m,2.12 m,0.97 m,1123 mm,71,40 ton,25.91 m,https://www.vesselfinder.com/vessels/details/9561198
ELEGANT SW,15616B,9450167,Bulk carrier,177.85 m,170.58 m,28.6 m,15 m,10.85 m,22852,12535,37163 ton,https://www.vesselfinder.com/vessels/details/9450167
HAV SUND,09716N,9361768,OZ2207,89.95 m,84.98 m,14.4 m,7.35 m,5.79 m,2998,1673,4500 ton,https://www.vesselfinder.com/vessels/details/9361768
DCS ARIES,44141G,9873034,HP3431,125.2 m,26 m,8 m,5.65 m,2366 mm,10758,3227,13129 ton,https://www.vesselfinder.com/vessels/details/9873034
SLUISGRACHT,42107V,9202522,General cargo ship,172 m,160.29 m,25.3 m,14.6 m,10.6 m,16639,6730,21449 ton,https://www.vesselfinder.com/vessels/details/9202522
LADY NUR,38W453,8922278,3FFE2,82 m,78 m,12.5 m,5.6 m,4.95 m,1999,1203,3262 ton,https://www.vesselfinder.com/vessels/details/8922278
VANQUISH,09416M,9375135,Cargo / Container ship,99.97 m,91.55 m,15.85 m,5.85 m,3010 mm,3871,1427,4780 ton,https://www.vesselfinder.com/vessels/details/9375135
FITBURG,27480W,9250397,General cargo ship,132.2 m,123.84 m,15.87 m,9.65 m,7.73 m,6378,3608,9900 ton,https://www.vesselfinder.com/vessels/details/9250397
ARKLOW ARCHER,32056V,9851969,General cargo ship,119.5 m,116.89 m,14.99 m,9.7 m,7.19 m,5078,2704,8543 ton,https://www.vesselfinder.com/vessels/details/9851969
MERWEBORG,39H613,9142552,PDBM,134.5 m,127.85 m,16.5 m,9.8 m,7.4 m,6540,3686,9732 ton,https://www.vesselfinder.com/vessels/details/9142552
LARISSA B,09933Y,9466219,5BCW6,88.3 m,83.44 m,12.9 m,7 m,5.4 m,2622,1421,3500 ton,https://www.vesselfinder.com/vessels/details/9466219
VOLARIS-53,25520R,8720230,V4UI2,139.89 m,134 m,16.4 m,6.7 m,4.68 m,4911,1776,6277 ton,https://www.vesselfinder.com/vessels/details/8720230
STAR JUVENTAS,29216J,9254642,General cargo ship,198 m,187 m,31 m,19 m,12.02 m,32679,13085,44837 ton,https://www.vesselfinder.com/vessels/details/9254642
