NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
MARINE KINGSLY,25573Y,9550589,Oil tanker,83.5,17.3,9.61,7.8,1810,3828,6544,88.9,https://www.vesselfinder.com/vessels/details/9550589
GRACE ENERGY,34606S,8702941,Liquefied gas carrier,272,262.43,47.2,26.5,11.4,107146,32143,67024,https://www.vesselfinder.com/vessels/details/8702941
WISBY VERITY,04025C,9283459,Oil tanker / Chemical tanker,110.9,15,9.3,6.75,2559,4295,2141,7479,https://www.vesselfinder.com/vessels/details/9283459
CITY,24386J,9710830,Oil tanker,45.99,43.93,9.6,4,3.2,497,178,643,https://www.vesselfinder.com/vessels/details/9710830
ERNE,16847P,9393072,Oil tanker / Chemical tanker,117,110.55,21,9.5,7.55,6764,3194,10303,https://www.vesselfinder.com/vessels/details/9393072
BIT POWER,02628J,9256432,PDSV,115.15,18,10.2,7.5,2565,6556,6996,116.9,https://www.vesselfinder.com/vessels/details/9256432
PROVIDENCE,11239T,9531545,Oil tanker / Chemical tanker,103,96.5,16,8.7,7,4047,1940,6764,https://www.vesselfinder.com/vessels/details/9531545
FTM 21,43352Y,9598361,Oil tanker,136.85,16.9,6.1,3.7,2383,4383,5530,141,https://www.vesselfinder.com/vessels/details/9598361
MAYOURY,27671E,9777541,Oil tanker / Chemical tanker,119.5,115,21.6,8.64,6.2,6141,2733,9194,https://www.vesselfinder.com/vessels/details/9777541
AMETHYST,02307K,9246918,Oil tanker / Chemical tanker,92.27,86.03,13.6,7.65,6.09,2682,1305,4282,https://www.vesselfinder.com/vessels/details/9246918
REMI,25665Y,8805470,Oil tanker / Product tanker,175.79,169.21,31.99,15.08,2988,22607,11801,39869,https://www.vesselfinder.com/vessels/details/8805470
PORTOLA,39232V,9449443,Oil tanker / Chemical tanker,120,113.28,20.42,11.9,8.9,8278,3725,12756,https://www.vesselfinder.com/vessels/details/9449443
LEA ATK,12407N,9566708,Oil tanker / Chemical tanker,109.92,103.18,17.2,7.1,1712,4812,2229,7081,https://www.vesselfinder.com/vessels/details/9566708
VEYSEL VARDAL,13425U,9079303,Chemical tanker,84.35,78,14,6.2,5.4,2108,1147,3265,https://www.vesselfinder.com/vessels/details/9079303
PEONY,26714P,9759226,Oil tanker,23.8,21.21,7.4,3.3,2.6,146,56,200,https://www.vesselfinder.com/vessels/details/9759226
ORIS DI,06602D,9245299,Oil tanker / Chemical tanker,110,105.25,14,7.4,5.65,2982,1426,5412,https://www.vesselfinder.com/vessels/details/9245299
MARLIN 88,31314P,9168439,Oil tanker / Product tanker,172,32.2,19.1,13.16,6464,28480,46986,182.5,https://www.vesselfinder.com/vessels/details/9168439
CHEIKH BOUAMAMA,07877P,9324344,Liquefied gas carrier,219.81,212.81,35,22.55,9.98,52855,15856,39483,https://www.vesselfinder.com/vessels/details/9324344
GRACE LUCRUM,11046J,9301902,Oil tanker / Chemical tanker,183,174,32.2,19.1,13.13,29683,13757,51371,https://www.vesselfinder.com/vessels/details/9301902
INEOS INDEPENDENCE,27197P,9744960,Liquefied gas carrier,180.3,170.8,26.6,17.8,9.4,22887,6866,20918,https://www.vesselfinder.com/vessels/details/9744960
ASTERION,19061V,9595125,Oil tanker / Chemical tanker,184,176,27.4,17.2,11.5,23261,9919,37583,https://www.vesselfinder.com/vessels/details/9595125
FLORA,39S622,9133070,Oil tanker / Chemical tanker,180,171,32.2,18.8,12.2,29083,11723,44923,https://www.vesselfinder.com/vessels/details/9133070
