NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
CORAL ENCANTO,24595L,9693719,Liquefied gas carrier,181.3,172,28,19,8,26166,7849,18637,https://www.vesselfinder.com/vessels/details/9693719
SAEHAN SELINA,36642F,9615341,Liquefied gas carrier,97.69,89.9,16,7.2,5.41,3428,1029,3805,https://www.vesselfinder.com/vessels/details/9615341
GAS EXELERO,12563H,9392042,Liquefied gas carrier,96,89.5,15,7.02,5.51,2997,951,3104,https://www.vesselfinder.com/vessels/details/9392042
NORDEN,07817Y,9346641,Oil tanker,79.95,79.9,13.4,6.2,5,1875,802,2870,https://www.vesselfinder.com/vessels/details/9346641
GT UNITY,10500Q,9507506,XVKK,117.75,110,17.2,9,6.65,4838,2370,7631,https://www.vesselfinder.com/vessels/details/9507506
AILSA CRAIG I,42676P,8907319,Floating storage unit,343.4,322.2,58,28.55,19.44,150704,105204,274990,https://www.vesselfinder.com/vessels/details/8907319
CORAL ACROPORA,19654Q,9601730,Liquefied gas carrier,115,108.86,16.8,9.8,7.8,6288,1886,6246,https://www.vesselfinder.com/vessels/details/9601730
PLUMERIA CORAL,29451P,9747065,Liquefied gas carrier,99.98,93.5,17.2,7.8,6.1,4289,1376,5016,https://www.vesselfinder.com/vessels/details/9747065
ANDREA,09200C,9428188,Oil tanker,76.47,71.9,10.6,5.3,4.42,1343,600,1942,https://www.vesselfinder.com/vessels/details/9428188
PALLADA GAS,39K753,9143154,Liquefied gas carrier,99.97,94,20,8,5.81,4913,1474,5761,https://www.vesselfinder.com/vessels/details/9143154
THUN LIFFEY,30816X,9829007,Oil tanker / Chemical tanker,149.8,140.8,22.8,12.7,9.4,11826,5932,18684,https://www.vesselfinder.com/vessels/details/9829007
MARINE ORACLE,20507S,9655391,Oil tanker,89.95,85,16,7.3,5.8,2999,1256,4984,https://www.vesselfinder.com/vessels/details/9655391
FEDOR LITKE,28766U,9768370,Liquefied gas carrier,299,283.1,50,26.5,13,128806,38641,96839,https://www.vesselfinder.com/vessels/details/9768370
SPABUNKER SESENTA,10361P,9416874,VERENIGDE TANKREDERIJ SPAIN SA,63.99,59.28,16.25,7.6,6.2,2113,931,3517,https://www.vesselfinder.com/vessels/details/9416874
DELTA SEA,28265A,9452268,Oil tanker / Chemical tanker,100.12,94,18,960,6.5,4999,1686,6487,https://www.vesselfinder.com/vessels/details/9452268
EPITOME,38871D,9910973,Oil tanker,114.99,108.5,19,10,7.5,6113,2527,8628,https://www.vesselfinder.com/vessels/details/9910973
LPG FSM,06361R,9129380,Liquefied gas carrier,97.42,91.43,15.3,8.6,6.97,4054,1216,4966,https://www.vesselfinder.com/vessels/details/9129380
ADIL IBRAHIMLI,38536P,9575319,Oil tanker / Chemical tanker,139.95,133.96,16.6,6,4.6,4684,2273,7109,https://www.vesselfinder.com/vessels/details/9575319
OLYMPIC LADY,33461X,9731169,Oil tanker,336,322,60,26.64,21.6,154895,107704,299507,https://www.vesselfinder.com/vessels/details/9731169
LADY DOYIN,24642M,9314208,Oil tanker / Chemical tanker,183.05,174,32.2,20.9,12.22,29586,11956,46858,https://www.vesselfinder.com/vessels/details/9314208
