NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
JM SUTERA 8,33362Q,9846990,Oil tanker / Chemical tanker,108,102,19.2,9.3,6.3,5620,1972,7159,https://www.vesselfinder.com/vessels/details/9846990
JUICE EXPRESS,30215U,9812456,Refrigerated carrier / Container ship,99.9,97.9,15.4,8.75,6.1,4364,1309,4701,https://www.vesselfinder.com/vessels/details/9812456
FTM 23,43350W,9598385,Oil tanker,139,16.9,6.1,3.73,2383,4383,5519,141,https://www.vesselfinder.com/vessels/details/9598385
SERI BALQIS,09165P,9331672,Liquefied gas carrier,294.6,281.6,46.5,25.8,12.4,107633,32289,91198,https://www.vesselfinder.com/vessels/details/9331672
THEMIS,02862N,9264570,Oil tanker,241,232,42,21.2,14.92,56358,32355,84999,https://www.vesselfinder.com/vessels/details/9264570
ECOBREEZE,22543F,9314466,Oil tanker / Product tanker,81.53,75.6,12.5,6.3,4.57,1823,865,2747,https://www.vesselfinder.com/vessels/details/9314466
KEY BORA,06674G,9316024,Oil tanker / Chemical tanker,92.86,86.65,14.1,7.2,5.7,2627,1140,3500,https://www.vesselfinder.com/vessels/details/9316024
CAROL,991U70,9070072,Liquefied gas carrier,115.31,106.68,16.8,11.8,8.11,5821,1746,5632,https://www.vesselfinder.com/vessels/details/9070072
PENTA I,38083W,9241114,Oil tanker,332.9,319,60,30.4,21,161306,110518,319175,https://www.vesselfinder.com/vessels/details/9241114
BERGEN STAR,07097R,9321603,LNVH,89.99,83.9,16.5,8.05,6.2,3618,1486,4411,https://www.vesselfinder.com/vessels/details/9321603
MED ADRIATIC,13682Y,9410662,Oil tanker / Chemical tanker,123.9,116.26,17.2,7.2,1977,5651,2602,8269,https://www.vesselfinder.com/vessels/details/9410662
SEDAT BASAK,40967G,9940100,Oil tanker / Chemical tanker,99.99,98.1,16.6,6.7,1760,4065,1773,6038,https://www.vesselfinder.com/vessels/details/9940100
THAMES,13363C,9554286,Oil tanker,115,109.24,17.6,7,2012,4758,2321,7420,https://www.vesselfinder.com/vessels/details/9554286
BORDEIRA,16732P,9529499,Oil tanker,274.39,264,48,23.2,17,81380,51274,158513,https://www.vesselfinder.com/vessels/details/9529499
CORAL METHANE,10409R,9404584,Liquefied gas carrier,117.8,111.2,18.6,7.15,2960,7907,2372,5953,https://www.vesselfinder.com/vessels/details/9404584
VARDAR,34096N,9260055,Oil tanker / Chemical tanker,168,31,17,10.05,5914,25108,40225,175.93,https://www.vesselfinder.com/vessels/details/9260055
SHIN´I,00074H,9165451,Oil tanker / Chemical tanker,106.3,97,16,7.25,5.72,3356,1587,5527,https://www.vesselfinder.com/vessels/details/9165451
PALMSTONE,26191V,9753052,Oil tanker,28.8,25.7,6.8,3,1.8,148,74,260,https://www.vesselfinder.com/vessels/details/9753052
CORAL LEAF,14044S,9404625,Liquefied gas carrier,108,101.12,16.8,9.4,7.5,5441,1632,4999,https://www.vesselfinder.com/vessels/details/9404625
ARTURA,24045N,9150365,Oil tanker,263,48.04,22.4,16.02,6489,78845,150841,274.2,https://www.vesselfinder.com/vessels/details/9150365
MT WEDA PIONEER,09098R,9417476,Oil tanker,117.6,109.6,19,10,7.5,6149,2894,9220,https://www.vesselfinder.com/vessels/details/9417476
MED PACIFIC,10818L,9461934,Oil tanker / Chemical tanker,169.9,159.08,25.4,10.9,4013,17602,8551,26234,https://www.vesselfinder.com/vessels/details/9461934
KITION M,35144C,9321160,H P I X,228,219,32.26,20.8,14.48,40964,22259,74995,https://www.vesselfinder.com/vessels/details/9321160
MALIK ALIYEV,38532K,9575345,Oil tanker / Chemical tanker,139.95,133.96,16.6,6,4.6,4684,2273,7111,https://www.vesselfinder.com/vessels/details/9575345
GAIA NORDIC,17785J,9614593,Oil tanker,49.5,9.5,4,29,1108,496,149,762,https://www.vesselfinder.com/vessels/details/9614593
ANTARES,42275D,9800817,FMWE,180,173.3,32.26,17,11.2,26310,11264,40356,https://www.vesselfinder.com/vessels/details/9800817
PEARL-T,03179H,9264166,Oil tanker / Chemical tanker,99.76,91.8,15,7.6,6.18,2919,1411,4635,https://www.vesselfinder.com/vessels/details/9264166
GALE,35872T,9876335,Liquefied gas carrier,91.09,89.89,14.8,7,4.85,2999,899,2657,https://www.vesselfinder.com/vessels/details/9876335
MELATI 6,26742U,9172260,Chemical tanker,177,168.98,30,15.2,10.39,22116,8678,31969,https://www.vesselfinder.com/vessels/details/9172260
